Name,gender_id,birth_year,death_year,data_source_id,religion_id
William Aldam,1,1813,1890,1,1
S  Stafford Allen,1,1840,1870,1,1
Edward Backhouse,1,1808,1879,1,1
James (1) Backhouse,1,1794,1869,1,1
James Bell,1,1818,1872,1,1
Antonio Brady,1,1811,1881,1,1
William Bull,1,1828,1902,1,1
Henry Christy,1,1810,1865,1,1
William Clay,1,1791,1869,1,1
x Collier,1,NA,NA,1,1
Henry Crowley,1,NA,1887,1,1
David Dale,1,1829,1906,1,1
James T J Doyle,1,NA,NA,1,1
Robert Nicholas Fowler,1,1828,1891,1,1
William Fowler,1,NA,NA,1,1
Charles Henry Fox,1,NA,NA,1,1
George Stacey Gibson,1,1818,1883,1,1
John Henry Gurney,1,1819,1890,1,1
Thomas (1) Hodgkin,1,1798,1866,1,1
William Holmes,1,NA,NA,1,1
Jonathan Hutchinson,1,1828,1913,1,1
Joseph Lister,1,1827,1912,1,1
William Horton Lloyd,1,NA,NA,1,1
J Robinson,1,NA,NA,1,1
John Ross,1,NA,NA,1,1
E T Wakefield,1,NA,NA,1,1
James Wilson,1,NA,NA,1,1
William Wilson,1,1785,1868,1,1
William Spicer Wood,1,NA,1902,1,1
Arthur Albright,,NA,NA,3,1
Rachel Albright,,NA,NA,3,1
William Albright,,NA,NA,3,1
William Jun Aldam,,NA,NA,3,1
Frederick Alexander,,NA,NA,3,1
Samuel Allen,,NA,NA,3,1
John Arch,,NA,NA,3,1
R Arthington,,NA,NA,3,1
R Jun Arthington,,NA,NA,3,1
C Ashby,,NA,NA,3,1
T Jun Ashby,,NA,NA,3,1
Thomas Ashby,,NA,NA,3,1
Thomas Jun Ashby,,NA,NA,3,1
Catherine Backhouse,,NA,NA,3,1
Jonathan Backhouse,,NA,NA,3,1
S Baker,,NA,NA,3,1
Robert Barclay,,NA,NA,3,1
Richard Barrington,,NA,NA,3,1
Edward Beck,,NA,NA,3,1
Eliza Bell,,NA,NA,3,1
Frederick J Bell,,NA,NA,3,1
S S Bell,,NA,NA,3,1
Samuel Bewley,,NA,NA,3,1
x Biffin,,NA,NA,3,1
J Binyon,,NA,NA,3,1
E L Birkbeck,,NA,NA,3,1
H Birkbeck,,NA,NA,3,1
W Blaine,,NA,NA,3,1
Elizabeth Bowley,,NA,NA,3,1
Henry Brady,,NA,NA,3,1
Charles L Braithwaite,,NA,NA,3,1
L Braithwaite,,NA,NA,3,1
Isaac Brown,,NA,NA,3,1
Joshua Brown,,NA,NA,3,1
Lydia Brown,,NA,NA,3,1
Sarah Burgess,,NA,NA,3,1
Thomas Burgess,,NA,NA,3,1
W Catchpool,,NA,NA,3,1
x Charleton,,NA,NA,3,1
Samuel Clark,,NA,NA,3,1
W Clemes,,NA,NA,3,1
C Clothier,,NA,NA,3,1
Joseph Cooper,,NA,NA,3,1
George Crosfield,,NA,NA,3,1
Joseph Crosland,,NA,NA,3,1
A Crowley,,NA,NA,3,1
A Dale,,NA,NA,3,1
Elizabeth S Dawes,,NA,NA,3,1
John Dodshon,,NA,NA,3,1
Daniel Doncaster,,NA,NA,3,1
Elizabeth Dyer,,NA,NA,3,1
R Dymond,,NA,NA,3,1
William Dyson,,NA,NA,3,1
A Ellis,,NA,NA,3,1
Thomas Evans,,NA,NA,3,1
Ann Everett,,NA,NA,3,1
Joseph Farden,,NA,NA,3,1
