Source,Target,religion_name,first_year,last_year
Joseph Storrs,QCA,Quaker,1837,1847
A Crowley,APS,Quaker,1855,1863
A Dale,APS,Quaker,1861,1861
A Ellis,APS,Quaker,1860,1862
A Janson,APS,Quaker,1861,1861
A P Balkwill,APS,Quaker,1862,1862
A Thistlethwaite,APS,Quaker,1860,1860
Abraham Crowley,APS,Quaker,1851,1855
Abraham Fisher,APS,Quaker,1859,1865
Abraham Sewell,APS,Quaker,1860,1866
Abram Rawlinson Barclay,QCA,Quaker,1837,1839
Alexander Grace,APS,Quaker,1862,1867
Alfred Backhouse,APS,Quaker,1860,1867
Alfred Kitching,APS,Quaker,1860,1866
Alfred L Fox,APS,Quaker,1867,1867
Alfred Rosling,APS,Quaker,1861,1866
Alfred Smith,APS,Quaker,1862,1862
Alfred Waterhouse,APS,Quaker,1861,1867
Algernon Peckover,APS,Quaker,1851,1867
Andrew & Jun Johnston,APS,Quaker,1861,1862
Andrew Johnston,APS,Quaker,1838,1866
Andrew Johnston,HOD,Quaker,,
Ann Cropper,APS,Quaker,1861,1867
Ann Everett,APS,Quaker,1839,1861
Ann Gibson,APS,Quaker,1860,1865
Ann Snowden,APS,Quaker,1865,1867
Ann Tweedy,APS,Quaker,1861,1867
Ann Wallis,APS,Quaker,1851,1867
Anna Gurney,APS,Quaker,1851,1857
Anna Gurney,HOD,Quaker,,
Anna Gurney,HOD,Quaker,,
Antonio Brady,APS,Quaker,1861,1863
Antonio Brady,ASL,Quaker,1864,1871
Antonio Brady,AI,Quaker,1864,1871
Arthur Albright,APS,Quaker,1861,1867
Arthur Pease,APS,Quaker,1861,1866
Barnard Dickinson,APS,Quaker,1851,1853
Bartholomew Smith,APS,Quaker,1861,1867
Benjamin Jowett (2),APS,Quaker,1852,1867
Benjamin Seebohm,APS,Quaker,1865,1866
Benjamin Wheeler,APS,Quaker,1851,1856
Burwood Godlee,APS,Quaker,1839,1867
Burwood Godlee,HOD,Quaker,,
C Ashby,APS,Quaker,1860,1860
C Clothier,APS,Quaker,1860,1860
C Knight,APS,Quaker,1839,1839
C Southall,APS,Quaker,1861,1861
Caleb Fletcher,APS,Quaker,1854,1865
Caleb Williams,APS,Quaker,1854,1867
Caroline Armistead,APS,Quaker,1861,1865
Caroline Marriage,APS,Quaker,1860,1867
Catherine Backhouse,APS,Quaker,1851,1861
Charles B Warner,APS,Quaker,1851,1851
Charles Brewin,APS,Quaker,1840,1840
Charles Buxton,APS,Quaker,1851,1867
Charles Buxton,ASL,Quaker,1864,1866
Charles Gillett,APS,Quaker,1860,1867
Charles Henry Fox,APS,Quaker,1838,1852
Charles Henry Fox,ESL,Quaker,1861,1871
Charles Henry Fox,AI,Quaker,1861,1871
Charles Hicks,APS,Quaker,1862,1867
Charles Horsnaill,APS,Quaker,1860,1866
Charles Janson,APS,Quaker,1861,1866
Charles L Braithwaite,APS,Quaker,1866,1866
Charles L Harford,APS,Quaker,1838,1855
Charles Sessions,APS,Quaker,1859,1866
Charles Sturge,APS,Quaker,1860,1862
Charles Wilson,APS,Quaker,1867,1867
Christopher Bowley,APS,Quaker,1838,1862
Cornelius Hanbury,APS,Quaker,1838,1867
Cornelius x Jun Hanbury,APS,Quaker,1866,1867
Cyrus Clark,APS,Quaker,1861,1861
D Miller,APS,Quaker,1853,1859
D Tuke,APS,Quaker,1861,1862
Daniel Bell Hanbury,APS,Quaker,1851,1867
Daniel Doncaster,APS,Quaker,1866,1867
Daniel P Hack,APS,Quaker,1851,1867
Daniel Wheeler,APS,Quaker,1839,1839
David Dale,APS,Quaker,1864,1865
David Dale,ESL,Quaker,1860,1863
Deborah Beesley,APS,Quaker,1860,1867
Deborah Gibson,APS,Quaker,1866,1866
E F Sewell,APS,Quaker,1860,1860
E Gilkes,APS,Quaker,1861,1861
E L Birkbeck,APS,Quaker,1866,1866
E Neave,APS,Quaker,1861,1861
E O Tindale,APS,Quaker,1860,1860
E P Southall,APS,Quaker,1838,1838
E Sayce,APS,Quaker,1860,1860
E T Wakefield,APS,Quaker,1853,1864
E T Wakefield,ASL,Quaker,1865,1868
E T Wakefield,HOD,Quaker,,
Edmund Backhouse,APS,Quaker,1861,1867
Edmund Gurney,APS,Quaker,1851,1855
Edmund Lucas,APS,Quaker,1851,1864
Edmund Sturge,APS,Quaker,1860,1862
Edward A Crouch,APS,Quaker,1857,1860
Edward A Leatham,APS,Quaker,1851,1867
Edward Ash,APS,Quaker,1839,1860
Edward Backhouse,APS,Quaker,1839,1867
Edward Backhouse,ESL,Quaker,1870,1871
Edward Backhouse,AI,Quaker,1870,1871
Edward Beck,APS,Quaker,1838,1859
Edward C May,APS,Quaker,1839,1862
Edward Carroll,APS,Quaker,1865,1865
Edward Carroll,HOD,Quaker,,
Edward James,APS,Quaker,1860,1867
Edward Jun Backhouse,APS,Quaker,1851,1855
Edward Lucas,APS,Quaker,1852,1867
Edward Marsh,APS,Quaker,1857,1867
Edward North Buxton,APS,Quaker,1838,1855
Edward North Buxton,HOD,Quaker,,
Edward Paull,QCA,Quaker,1840,1847
Edward Pease,APS,Quaker,1838,1867
Edward Priestman (2),APS,Quaker,1866,1866
Edward Richardson,APS,Quaker,1839,1861
Edward Smith,APS,Quaker,1862,1865
Edward Taylor,APS,Quaker,1861,1865
Edward Thomas,APS,Quaker,1851,1854
Edwd Harris,QCA,Quaker,1837,1847
Edwin Bracher,APS,Quaker,1861,1866
Eliza Barclay,APS,Quaker,1851,1866
Eliza Bell,APS,Quaker,1851,1867
Elizabeth Bowley,APS,Quaker,1860,1867
Elizabeth Charelton,APS,Quaker,1861,1867
Elizabeth Dyer,APS,Quaker,1860,1867
Elizabeth G Dimsdale,APS,Quaker,1867,1867
Elizabeth Hills,APS,Quaker,1863,1867
Elizabeth Howard,APS,Quaker,1851,1865
Elizabeth Howard (2),APS,Quaker,1860,1867
Elizabeth S Dawes,APS,Quaker,1867,1867
Elizabeth Tuckett,APS,Quaker,1840,1840
Elliott Cresson,APS,Quaker,1839,1852
Elliott Cresson,HOD,Quaker,,
Elliott Cresson,HOD,Quaker,,
F  E Gibson,APS,Quaker,1860,1861
F J Thompson,APS,Quaker,1860,1867
F J Walker,APS,Quaker,1860,1860
F Seebohm,APS,Quaker,1861,1861
F Taylor,APS,Quaker,1861,1861
F Woodhead,APS,Quaker,1861,1862
Fielden Thorpe,APS,Quaker,1862,1867
Francis Brown,APS,Quaker,1861,1867
Francis E Fox,APS,Quaker,1838,1867
Francis Gibson,APS,Quaker,1840,1861
Francis May,APS,Quaker,1860,1865
Francis Tuckett,APS,Quaker,1840,1854
Francis Wright,APS,Quaker,1838,1838
Frederick Alexander,APS,Quaker,1839,1840
Frederick Crowley,APS,Quaker,1865,1867
Frederick Fryer,APS,Quaker,1861,1867
Frederick H Fox,APS,Quaker,1862,1867
Frederick J Bell,APS,Quaker,1851,1857
Frederick Lucas,APS,Quaker,1839,1840
Frederick Tuckett,APS,Quaker,1851,1854
Frederick Tuckett,HOD,Quaker,,
Frederick Tuckett,HOD,Quaker,,
Frederick Wheeler,APS,Quaker,1851,1867
G B Holmes,APS,Quaker,1840,1840
G E Richardson,APS,Quaker,1860,1860
G Grimshaw,APS,Quaker,1861,1862
G R Pumphrey,APS,Quaker,1862,1862
G S Brady,APS,Quaker,1861,1861
G W Alexander,APS,Quaker,1851,1867
Geo Holmes,QCA,Quaker,1837,1839
George Cook,APS,Quaker,1866,1866
George Crosfield,APS,Quaker,1838,1838
George Fox,APS,Quaker,1862,1867
George Head,APS,Quaker,1838,1865
George L Neighbour,APS,Quaker,1847,1867
George N Tatham,APS,Quaker,1851,1852
George Palmer,APS,Quaker,1860,1867
George Smithson,APS,Quaker,1865,1866
George Stacey,QCA,Quaker,1837,1847
George Stacey Gibson,APS,Quaker,1851,1863
George Stacey Gibson,ASL,Quaker,1864,1866
George Sturge,APS,Quaker,1867,1867
George Thomas,APS,Quaker,1851,1867
George Treffry,APS,Quaker,1860,1867
George Wilson,APS,Quaker,1861,1867
Gopsill Brown,APS,Quaker,1860,1860
Gray Hester,APS,Quaker,1861,1867
Gurney Hoare,APS,Quaker,1838,1840
Gurney Pease,APS,Quaker,1865,1866
H Birkbeck,APS,Quaker,1860,1860
H Headley,APS,Quaker,1860,1860
H J Sturge,APS,Quaker,1865,1867
H Squire,APS,Quaker,1860,1860
H Taylor,APS,Quaker,1861,1861
H Wise,APS,Quaker,1839,1840
Haggar Lowe,APS,Quaker,1838,1867
Hannah Scarr,APS,Quaker,1861,1866
Harford Lury,APS,Quaker,1860,1865
Henry Alexander,APS,Quaker,1860,1866
Henry Brady,APS,Quaker,1866,1867
Henry Burlingham,APS,Quaker,1861,1867
Henry Christy,APS,Quaker,1840,1865
Henry Christy,ESL,Quaker,1854,1865
Henry Christy,HOD,Quaker,,
Henry Crowley,APS,Quaker,1851,1855
Henry Crowley,ASL,Quaker,1864,1871
Henry Crowley,AI,Quaker,1864,1871
Henry E Gurney,APS,Quaker,1855,1866
Henry Fell Pease,APS,Quaker,1851,1867
Henry Fox,APS,Quaker,1862,1867
Henry Harris,APS,Quaker,1861,1867
Henry Hipsley,APS,Quaker,1862,1867
Henry Hunt,APS,Quaker,1838,1861
Henry Knight,QCA,Quaker,1840,1847
Henry Knight,APS,Quaker,1852,1858
Henry Richardson,APS,Quaker,1860,1867
Henry Russell,APS,Quaker,1851,1853
Henry Sterry,APS,Quaker,1851,1867
Isaac Brown,APS,Quaker,1839,1867
Isaac Hadwen,APS,Quaker,1852,1865
Isaac Pitt,APS,Quaker,1860,1867
Isaac Reckitt,APS,Quaker,1861,1861
Isaac Robson,APS,Quaker,1862,1867
Isaac Wilson,APS,Quaker,1838,1840
Isabella Lister,APS,Quaker,1838,1840
J A Sanders,APS,Quaker,1861,1861
J Binyon,APS,Quaker,1856,1857
J Blunsom,APS,Quaker,1861,1865
J Cudworth,APS,Quaker,1860,1863
J Doubleday,APS,Quaker,1866,1866
J E Baker,APS,Quaker,1861,1867
J E Lury,APS,Quaker,1853,1867
J F Burgess,APS,Quaker,1860,1861
J G Fox,APS,Quaker,1858,1858
J Gillett,APS,Quaker,1863,1863
J Gilpin,APS,Quaker,1860,1862
J Gurney Barclay,APS,Quaker,1852,1852
J Gurney Barclay,HOD,Quaker,,
J H Cotterell,APS,Quaker,1862,1862
J H Knight,APS,Quaker,1860,1861
J H Tuke,APS,Quaker,1862,1862
J Holdsworth,APS,Quaker,1860,1861
J Hopkins,APS,Quaker,1839,1860
J Hurnard,APS,Quaker,1860,1861
J J Packer,APS,Quaker,1861,1862
J Jun Read,APS,Quaker,1839,1840
J L Stevens,APS,Quaker,1860,1865
J M Sparkes,APS,Quaker,1861,1866
J Pears,APS,Quaker,1839,1851
J Robinson,APS,Quaker,1839,1840
J Robinson,ASL,Quaker,1865,1865
J Robinson,HOD,Quaker,,
J Rooke,APS,Quaker,1860,1860
J S Robson,APS,Quaker,1861,1867
Jacob Post,APS,Quaker,1839,1851
James (1) Backhouse,APS,Quaker,1851,1867
James (1) Backhouse,ESL,Quaker,1869,1869
James (1) Backhouse,HOD,Quaker,,
James (1) Backhouse,HOD,Quaker,,
James Baker,APS,Quaker,1861,1867
James Bell,APS,Quaker,1847,1862
James Bell,ESL,Quaker,1852,1862
James Bowden,QCA,Quaker,1842,1847
James Bracher,APS,Quaker,1861,1861
James Cadbury,APS,Quaker,1838,1867
James Charleton,APS,Quaker,1839,1839
James Clark (2),APS,Quaker,1860,1866
James Cropper,APS,Quaker,1866,1867
James Cropper,HOD,Quaker,,
James E Veale,APS,Quaker,1851,1867
James Gingell,APS,Quaker,1860,1862
James Hills,APS,Quaker,1861,1861
James Jun Backhouse,APS,Quaker,1863,1867
James Ransome,APS,Quaker,1839,1862
James Sessions,APS,Quaker,1851,1859
James T J Doyle,APS,Quaker,1839,1840
James T J Doyle,ASL,Quaker,1865,1868
James Wells,APS,Quaker,1861,1861
James Wilson,APS,Quaker,1862,1867
James Wilson,ASL,Quaker,1865,1865
Jane Reynolds,APS,Quaker,1838,1855
Jeffrey Lucas,APS,Quaker,1840,1854
Jemima Swan,APS,Quaker,1862,1867
Jeremiah Cross,APS,Quaker,1861,1866
John Arch,APS,Quaker,1852,1854
John B Pease,APS,Quaker,1852,1867
John Barclay,QCA,Quaker,1837,1839
John Barton Hack,APS,Quaker,1839,1851
John Barton Hack,HOD,Quaker,,
John Baynes,APS,Quaker,1838,1838
John Beaumont,APS,Quaker,1839,1860
John Bell,QCA,Quaker,1837,1839
John Bell,APS,Quaker,1838,1840
John C Isaac,APS,Quaker,1855,1867
John Church Backhouse,APS,Quaker,1852,1852
John Cropper,APS,Quaker,1866,1867
John D Appleton,APS,Quaker,1864,1867
John D Bassett,APS,Quaker,1851,1867
John Dodshon,APS,Quaker,1860,1867
John E Wilson,APS,Quaker,1860,1867
John F Rutter,APS,Quaker,1863,1867
John Fell,APS,Quaker,1852,1852
John Ford,APS,Quaker,1854,1857
John Gayner,APS,Quaker,1865,1865
John Gillett,APS,Quaker,1860,1863
John Good,APS,Quaker,1861,1867
John Green,APS,Quaker,1860,1863
John Gurney,APS,Quaker,1839,1855
John Hamilton,QCA,Quaker,1837,1839
John Harford,APS,Quaker,1838,1851
John Harlock,APS,Quaker,1860,1867
John Henry Gurney,APS,Quaker,1851,1860
John Henry Gurney,ESL,Quaker,1860,1867
John Hills,APS,Quaker,1853,1864
John Hodgkin,APS,Quaker,1851,1867
John Hodgkin,HOD,Quaker,,
John Hodgkin,HOD,Quaker,,
John Horniman,APS,Quaker,1860,1867
John Huntley,APS,Quaker,1864,1866
John James,APS,Quaker,1860,1860
John Jowett,APS,Quaker,1860,1867
John Jun Jowett,APS,Quaker,1851,1851
John Jun Williams,APS,Quaker,1838,1838
John King,APS,Quaker,1860,1862
John Kitching,QCA,Quaker,1837,1839
John Kitching,APS,Quaker,1860,1866
John Lee,APS,Quaker,1851,1865
John M Albright,APS,Quaker,1860,1867
John M Candler,APS,Quaker,1839,1867
John Marsh,APS,Quaker,1860,1867
John Mayfield,APS,Quaker,1847,1867
John Morland,APS,Quaker,1839,1867
John Morrison,APS,Quaker,1839,1851
John Pease,APS,Quaker,1851,1867
John Priestman,APS,Quaker,1852,1862
John Pryor,APS,Quaker,1852,1852
John R Seekings,APS,Quaker,1862,1866
John Rickman,APS,Quaker,1839,1851
John Ross,APS,Quaker,1839,1852
John Ross,HOD,Quaker,,
John Rowntree,APS,Quaker,1855,1867
John S Rowntree,APS,Quaker,1866,1866
John Sanderson,QCA,Quaker,1837,1847
John Sanderson,APS,Quaker,1838,1840
John Stansfield,APS,Quaker,1860,1866
John Stevens,APS,Quaker,1839,1840
John T Shewell,APS,Quaker,1852,1866
John Thomas Barry,QCA,Quaker,1837,1847
John Thomas Barry,APS,Quaker,1852,1853
John Wadge,APS,Quaker,1838,1838
John Warner,APS,Quaker,1839,1840
John Whiting,APS,Quaker,1862,1867
John Wiblin,APS,Quaker,1861,1867
Jonathan Backhouse,APS,Quaker,1838,1851
Jonathan Backhouse,HOD,Quaker,,
Jonathan Barrett,APS,Quaker,1860,1861
Jonathan Burtt,APS,Quaker,1847,1867
Jonathan Gillett,APS,Quaker,1860,1867
Jonathan Hutchinson,APS,Quaker,1857,1866
Jonathan Hutchinson,ASL,Quaker,1863,1871
Jonathan Hutchinson,AI,Quaker,1863,1871
Jonathan Rees,APS,Quaker,1851,1854
Jonathan Walker,APS,Quaker,1860,1867
Joseph Armistead,APS,Quaker,1861,1864
Joseph B Braithwaite,APS,Quaker,1866,1867
Joseph B Braithwaite,HOD,Quaker,,
Joseph Cash,APS,Quaker,1863,1867
Joseph Clark,APS,Quaker,1860,1866
Joseph Cooper,APS,Quaker,1851,1867
Joseph Crosfield,APS,Quaker,1861,1867
Joseph Crosland,APS,Quaker,1866,1867
Joseph Eaton,APS,Quaker,1839,1858
Joseph F Spence,APS,Quaker,1854,1867
Joseph Farden,APS,Quaker,1851,1866
Joseph Gibbens,APS,Quaker,1860,1864
Joseph Hudson,APS,Quaker,1861,1861
Joseph Huntley,APS,Quaker,1860,1867
Joseph Lister,APS,Quaker,1851,1855
Joseph Lister,ESL,Quaker,1844,1847
Joseph Lister,HOD,Quaker,,
Joseph Neatby,QCA,Quaker,1837,1847
Joseph Neatby,APS,Quaker,1851,1852
Joseph Pease,APS,Quaker,1838,1866
Joseph Pease,HOD,Quaker,,
Joseph Rosling,APS,Quaker,1860,1860
Joseph Rowntree,APS,Quaker,1851,1855
Joseph Sams,APS,Quaker,1838,1855
Joseph Sewell,APS,Quaker,1851,1851
Joseph Sharples,APS,Quaker,1838,1867
Joseph Shewell,QCA,Quaker,1837,1839
Joseph Shewell,APS,Quaker,1840,1867
Joseph Sterry,APS,Quaker,1851,1867
Joseph Sturge,QCA,Quaker,1842,1847
Joseph Sturge,HOD,Quaker,,
Joseph Sturge (Mrs),APS,Quaker,1838,1866
Joseph T Price,APS,Quaker,1838,1855
Joseph Talwin Foster,QCA,Quaker,1837,1847
Joseph Whitwell Pease,APS,Quaker,1866,1866
Joseph Whitwell Pease,HOD,Quaker,,
Joseph Wilson,APS,Quaker,1839,1839
Josephina Rickman,APS,Quaker,1839,1851
Joshua Brown,APS,Quaker,1860,1867
Joshua Treffry,APS,Quaker,1860,1867
Joshua Wilson,APS,Quaker,1860,1860
Josiah Forster,QCA,Quaker,1837,1847
Josiah Forster,APS,Quaker,1838,1867
Josiah Forster,HOD,Quaker,,
Josiah Forster,HOD,Quaker,,
Josiah Grace,APS,Quaker,1860,1861
Josiah Merrick,APS,Quaker,1860,1867
Josiah Newman,APS,Quaker,1867,1867
Josiah Thompson,APS,Quaker,1861,1862
L Braithwaite,APS,Quaker,1860,1860
L Squire,APS,Quaker,1839,1840
Louisa Wright,APS,Quaker,1862,1867
Lucy Bradshaw,APS,Quaker,1860,1861
Lucy Darby,APS,Quaker,1851,1855
Lucy Westcombe,APS,Quaker,1865,1867
Luke Howard,APS,Quaker,1851,1852
Luke Howard,HOD,Quaker,,
Luke Howard,HOD,Quaker,,
Lydia Brown,APS,Quaker,1862,1867
Lydia Harris,APS,Quaker,1840,1862
Lydia Prideaux,APS,Quaker,1860,1867
Lydia Sessions,APS,Quaker,1865,1865
M A Hewitson,APS,Quaker,1867,1867
Maria Hooper,APS,Quaker,1860,1862
Marriage Wallis,APS,Quaker,1861,1866
Martha A Binyon,APS,Quaker,1866,1867
Martha Cross,APS,Quaker,1860,1860
Martha Fletcher,APS,Quaker,1854,1855
Martha Hutchinson,APS,Quaker,1839,1840
Martha Lucas,APS,Quaker,1851,1855
Mary Ann Tatham,APS,Quaker,1851,1867
Mary Cudworth,APS,Quaker,1861,1867
Mary Exton,APS,Quaker,1852,1860
Mary Fell,APS,Quaker,1840,1840
Mary Horsnail,APS,Quaker,1851,1857
Mary Overend,APS,Quaker,1851,1855
Mary Sansom,APS,Quaker,1855,1855
Mary Steevens,APS,Quaker,1861,1861
Mary Waterhouse,APS,Quaker,1852,1852
Matilda Rickman,APS,Quaker,1851,1851
Micheal Scatterthwaite,APS,Quaker,1861,1861
Nathaniel Tregellis,APS,Quaker,1859,1867
Newman Cash,APS,Quaker,1838,1838
P Burtt,APS,Quaker,1861,1861
P Debell Tuckett,APS,Quaker,1839,1866
Paul Bevan,APS,Quaker,1860,1867
Peter Bedford,QCA,Quaker,1837,1847
Peter Bedford,APS,Quaker,1860,1860
Peter Bedford,HOD,Quaker,,
Philip Frith,APS,Quaker,1839,1840
Phillip Sewell,APS,Quaker,1851,1856
Priscilla Rickman,APS,Quaker,1840,1840
R Arthington,APS,Quaker,1855,1862
R Barclay Fox,APS,Quaker,1851,1857
R Barrett,APS,Quaker,1853,1860
R C Barrow,APS,Quaker,1860,1864
R D Alexander,APS,Quaker,1839,1860
