"Source","Target","religion_name","first_year","last_year"
William Aldam,ESL,Quaker,1844,1848
Edward Backhouse,ESL,Quaker,1870,1871
James (1) Backhouse,ESL,Quaker,1869,1869
James Bell,ESL,Quaker,1852,1862
Henry Christy,ESL,Quaker,1854,1865
William Clay,ESL,Quaker,1861,1868
x Collier,ESL,Quaker,1844,1844
David Dale,ESL,Quaker,1860,1863
Robert Nicholas Fowler,ESL,Quaker,1851,1871
William Fowler,ESL,Quaker,1851,1851
Charles Henry Fox,ESL,Quaker,1861,1871
John Henry Gurney,ESL,Quaker,1860,1867
Thomas (1) Hodgkin,ESL,Quaker,1844,1862
Joseph Lister,ESL,Quaker,1844,1847
William Horton Lloyd,ESL,Quaker,1844,1847
S  Stafford Allen,ASL,Quaker,1863,1870
Antonio Brady,ASL,Quaker,1864,1871
William Bull,ASL,Quaker,1867,1871
Henry Crowley,ASL,Quaker,1864,1871
James T J Doyle,ASL,Quaker,1865,1868
George Stacey Gibson,ASL,Quaker,1864,1866
William Holmes,ASL,Quaker,1865,1869
Jonathan Hutchinson,ASL,Quaker,1863,1871
J Robinson,ASL,Quaker,1865,1865
E T Wakefield,ASL,Quaker,1865,1868
James Wilson,ASL,Quaker,1865,1865
William Wilson,ASL,Quaker,1865,1866
William Spicer Wood,ASL,Quaker,1863,1871
Edward Backhouse,AI,Quaker,1870,1871
Antonio Brady,AI,Quaker,1864,1871
William Bull,AI,Quaker,1867,1871
Henry Crowley,AI,Quaker,1864,1871
Robert Nicholas Fowler,AI,Quaker,1851,1871
Charles Henry Fox,AI,Quaker,1861,1871
Jonathan Hutchinson,AI,Quaker,1863,1871
William Spicer Wood,AI,Quaker,1863,1871
William Aldam,APS,Quaker,1838,1848
James Bell,APS,Quaker,1847,1862
Henry Christy,APS,Quaker,1840,1865
William Clay,APS,Quaker,1839,1868
William Spicer Wood,APS,Quaker,1864,1867
William Wilson,APS,Quaker,1838,1865
James Wilson,APS,Quaker,1862,1867
E T Wakefield,APS,Quaker,1853,1864
John Ross,APS,Quaker,1839,1852
J Robinson,APS,Quaker,1839,1840
William Horton Lloyd,APS,Quaker,1862,1862
Joseph Lister,APS,Quaker,1851,1855
Jonathan Hutchinson,APS,Quaker,1857,1866
William Holmes,APS,Quaker,1840,1867
Thomas (1) Hodgkin,APS,Quaker,1838,1866
Thomas (1) Hodgkin,QCA,Quaker,1839,1847
John Henry Gurney,APS,Quaker,1851,1860
George Stacey Gibson,APS,Quaker,1851,1863
Charles Henry Fox,APS,Quaker,1838,1852
William Fowler,APS,Quaker,1860,1867
Robert Nicholas Fowler,APS,Quaker,1851,1867
James T J Doyle,APS,Quaker,1839,1840
David Dale,APS,Quaker,1864,1865
Henry Crowley,APS,Quaker,1851,1855
x Collier,APS,Quaker,1860,1867
William Bull,APS,Quaker,1854,1854
Antonio Brady,APS,Quaker,1861,1863
James (1) Backhouse,APS,Quaker,1851,1867
Edward Backhouse,APS,Quaker,1839,1867
S  Stafford Allen,APS,Quaker,1861,1867
Arthur Albright,APS,Quaker,1861,1867
Rachel Albright,APS,Quaker,1860,1867
William Albright,APS,Quaker,1852,1860
William Jun Aldam,APS,Quaker,1838,1851
Frederick Alexander,APS,Quaker,1839,1840
Samuel Allen,APS,Quaker,1851,1864
John Arch,APS,Quaker,1852,1854
R Arthington,APS,Quaker,1855,1862
R Jun Arthington,APS,Quaker,1860,1862
C Ashby,APS,Quaker,1860,1860
T Jun Ashby,APS,Quaker,1861,1862
Thomas Ashby,APS,Quaker,1861,1867
Thomas Jun Ashby,APS,Quaker,1865,1865
Catherine Backhouse,APS,Quaker,1851,1861
Jonathan Backhouse,APS,Quaker,1838,1851
S Baker,APS,Quaker,1839,1840
Robert Barclay,APS,Quaker,1838,1855
Richard Barrington,APS,Quaker,1864,1867
Edward Beck,APS,Quaker,1838,1859
Eliza Bell,APS,Quaker,1851,1867
Frederick J Bell,APS,Quaker,1851,1857
S S Bell,APS,Quaker,1857,1866
Samuel Bewley,APS,Quaker,1866,1867
x Biffin,APS,Quaker,1861,1861
J Binyon,APS,Quaker,1856,1857
E L Birkbeck,APS,Quaker,1866,1866
H Birkbeck,APS,Quaker,1860,1860
W Blaine,APS,Quaker,1861,1862
Elizabeth Bowley,APS,Quaker,1860,1867
Henry Brady,APS,Quaker,1866,1867
Charles L Braithwaite,APS,Quaker,1866,1866
L Braithwaite,APS,Quaker,1860,1860
Isaac Brown,APS,Quaker,1839,1867
Joshua Brown,APS,Quaker,1860,1867
Lydia Brown,APS,Quaker,1862,1867
Sarah Burgess,APS,Quaker,1866,1867
Thomas Burgess,APS,Quaker,1860,1861
W Catchpool,APS,Quaker,1855,1859
x Charleton,APS,Quaker,1860,1860
Samuel Clark,APS,Quaker,1839,1840
W Clemes,APS,Quaker,1853,1854
C Clothier,APS,Quaker,1860,1860
Joseph Cooper,APS,Quaker,1851,1867
George Crosfield,APS,Quaker,1838,1838
Joseph Crosland,APS,Quaker,1866,1867
A Crowley,APS,Quaker,1855,1863
A Dale,APS,Quaker,1861,1861
Elizabeth S Dawes,APS,Quaker,1867,1867
John Dodshon,APS,Quaker,1860,1867
Daniel Doncaster,APS,Quaker,1866,1867
Elizabeth Dyer,APS,Quaker,1860,1867
R Dymond,APS,Quaker,1862,1862
William Dyson,APS,Quaker,1864,1865
A Ellis,APS,Quaker,1860,1862
Thomas Evans,APS,Quaker,1860,1865
Ann Everett,APS,Quaker,1839,1861
Joseph Farden,APS,Quaker,1851,1866
John Fell,APS,Quaker,1852,1852
Mary Fell,APS,Quaker,1840,1840
S H Fisher,APS,Quaker,1855,1855
Caleb Fletcher,APS,Quaker,1854,1865
Martha Fletcher,APS,Quaker,1854,1855
John Ford,APS,Quaker,1854,1857
George Fox,APS,Quaker,1862,1867
Henry Fox,APS,Quaker,1862,1867
Robert Were Fox,APS,Quaker,1838,1867
x Fox,APS,Quaker,1861,1861
W Gayner,APS,Quaker,1855,1855
Joseph Gibbens,APS,Quaker,1860,1864
Ann Gibson,APS,Quaker,1860,1865
Francis Gibson,APS,Quaker,1840,1861
F  E Gibson,APS,Quaker,1860,1861
W G Gibson,APS,Quaker,1862,1862
T Gill,APS,Quaker,1861,1862
J Gillett,APS,Quaker,1863,1863
John Gillett,APS,Quaker,1860,1863
J Gilpin,APS,Quaker,1860,1862
James Gingell,APS,Quaker,1860,1862
John Good,APS,Quaker,1861,1867
Josiah Grace,APS,Quaker,1860,1861
Thomas Graham,APS,Quaker,1851,1858
John Green,APS,Quaker,1860,1863
T Gregory,APS,Quaker,1860,1862
G Grimshaw,APS,Quaker,1861,1862
x Hadfield,APS,Quaker,1864,1867
Isaac Hadwen,APS,Quaker,1852,1865
Robert Harding,APS,Quaker,1861,1867
Henry Harris,APS,Quaker,1861,1867
Lydia Harris,APS,Quaker,1840,1862
Thomas Harvey,APS,Quaker,1852,1867
George Head,APS,Quaker,1838,1865
Sarah Head,APS,Quaker,1859,1867
H Headley,APS,Quaker,1860,1860
W Hewitson,APS,Quaker,1860,1860
Charles Hicks,APS,Quaker,1862,1867
Elizabeth Hills,APS,Quaker,1863,1867
James Hills,APS,Quaker,1861,1861
John Hills,APS,Quaker,1853,1864
Gurney Hoare,APS,Quaker,1838,1840
Maria Hooper,APS,Quaker,1860,1862
J Hopkins,APS,Quaker,1839,1860
Rebecca Hopkins,APS,Quaker,1860,1867
Mary Horsnail,APS,Quaker,1851,1857
Elizabeth Howard (2),APS,Quaker,1860,1867
Elizabeth Howard,APS,Quaker,1851,1865
Thomas Hughes,APS,Quaker,1867,1867
Henry Hunt,APS,Quaker,1838,1861
T Hunt,APS,Quaker,1862,1862
J Hurnard,APS,Quaker,1860,1861
John C Isaac,APS,Quaker,1855,1867
John James,APS,Quaker,1860,1860
Charles Janson,APS,Quaker,1861,1866
Samuel Jesper,APS,Quaker,1851,1852
Benjamin Jowett (2),APS,Quaker,1852,1867
John Jun Jowett,APS,Quaker,1851,1851
Robert Jowett (2),APS,Quaker,1852,1862
John King,APS,Quaker,1860,1862
Samuel King,APS,Quaker,1860,1867
Thomas King,APS,Quaker,1838,1840
Alfred Kitching,APS,Quaker,1860,1866
C Knight,APS,Quaker,1839,1839
John Lee,APS,Quaker,1851,1865
x Leitch,APS,Quaker,1847,1849
Thomas Letchmore,APS,Quaker,1860,1860
Thomas x Jun Letchmore,APS,Quaker,1860,1860
Thomas Letchworth,APS,Quaker,1862,1867
Thomas Jun Letchworth,APS,Quaker,1864,1866
Thomas x Jun Letchworth,APS,Quaker,1862,1865
S Lloyd,APS,Quaker,1865,1865
Edward Lucas,APS,Quaker,1852,1867
Rebecca Lucas,APS,Quaker,1851,1867
Thomas Marriage,APS,Quaker,1861,1862
John Marsh,APS,Quaker,1860,1867
R Marsh,APS,Quaker,1860,1861
William Matthews,APS,Quaker,1862,1866
William Mattravers,APS,Quaker,1839,1840
D Miller,APS,Quaker,1853,1859
John Morrison,APS,Quaker,1839,1851
E Neave,APS,Quaker,1861,1861
Mary Overend,APS,Quaker,1851,1855
W J Palmer,APS,Quaker,1862,1866
J Pears,APS,Quaker,1839,1851
Edward Priestman (2),APS,Quaker,1866,1866
John Priestman,APS,Quaker,1852,1862
James Ransome,APS,Quaker,1839,1862
Robert Ransome,APS,Quaker,1839,1865
William Rathbone,APS,Quaker,1839,1867
J Jun Read,APS,Quaker,1839,1840
Edward Richardson,APS,Quaker,1839,1861
Henry Richardson,APS,Quaker,1860,1867
W Richardson,APS,Quaker,1860,1861
R M Rickman,APS,Quaker,1862,1862
S Rickman,APS,Quaker,1838,1838
J Rooke,APS,Quaker,1860,1860
Alfred Rosling,APS,Quaker,1861,1866
John S Rowntree,APS,Quaker,1866,1866
Joseph Rowntree,APS,Quaker,1851,1855
Samuel Rundall,APS,Quaker,1839,1839
Henry Russell,APS,Quaker,1851,1853
Joseph Sams,APS,Quaker,1838,1855
J A Sanders,APS,Quaker,1861,1861
Mary Sansom,APS,Quaker,1855,1855
Micheal Scatterthwaite,APS,Quaker,1861,1861
S Scatterthwaite,APS,Quaker,1861,1862
Benjamin Seebohm,APS,Quaker,1865,1866
William Seebohm,APS,Quaker,1839,1861
Charles Sessions,APS,Quaker,1859,1866
Robert Simpson,APS,Quaker,1860,1867
Alfred Smith,APS,Quaker,1862,1862
Edward Smith,APS,Quaker,1862,1865
Richard Smith,APS,Quaker,1857,1867
Ann Snowden,APS,Quaker,1865,1867
C Southall,APS,Quaker,1861,1861
William Southall,APS,Quaker,1862,1866
William Sparkes,APS,Quaker,1861,1867
Joseph F Spence,APS,Quaker,1854,1867
L Squire,APS,Quaker,1839,1840
Mary Steevens,APS,Quaker,1861,1861
Henry Sterry,APS,Quaker,1851,1867
Richard Sterry,APS,Quaker,1851,1865
John Stevens,APS,Quaker,1839,1840
Joseph Sturge (Mrs),APS,Quaker,1838,1866
Sarah Styles,APS,Quaker,1866,1866
George N Tatham,APS,Quaker,1851,1852
Mary Ann Tatham,APS,Quaker,1851,1867
Edward Taylor,APS,Quaker,1861,1865
F Taylor,APS,Quaker,1861,1861
H Taylor,APS,Quaker,1861,1861
A Thistlethwaite,APS,Quaker,1860,1860
F J Thompson,APS,Quaker,1860,1867
Josiah Thompson,APS,Quaker,1861,1862
Thomas Thompson,APS,Quaker,1862,1862
W Thompson,APS,Quaker,1860,1862
George Treffry,APS,Quaker,1860,1867
Frederick Tuckett,APS,Quaker,1851,1854
W Tuke,APS,Quaker,1860,1860
Thomas Turner,APS,Quaker,1862,1867
James E Veale,APS,Quaker,1851,1867
Jonathan Walker,APS,Quaker,1860,1867
Ann Wallis,APS,Quaker,1851,1867
John Warner,APS,Quaker,1839,1840
Alfred Waterhouse,APS,Quaker,1861,1867
Mary Waterhouse,APS,Quaker,1852,1852
R Waterhouse,APS,Quaker,1861,1862
Thomas Wedmore,APS,Quaker,1861,1864
James Wells,APS,Quaker,1861,1861
Daniel Wheeler,APS,Quaker,1839,1839
W Whiting,APS,Quaker,1861,1861
John Jun Williams,APS,Quaker,1838,1838
W R Williams,APS,Quaker,1860,1860
Charles Wilson,APS,Quaker,1867,1867
George Wilson,APS,Quaker,1861,1867
Isaac Wilson,APS,Quaker,1838,1840
Joseph Wilson,APS,Quaker,1839,1839
Rebecca Wilson,APS,Quaker,1839,1861
H Wise,APS,Quaker,1839,1840
William Woods,APS,Quaker,1865,1865
Louisa Wright,APS,Quaker,1862,1867
James Bowden,QCA,Quaker,1842,1847
William Nash,QCA,Quaker,1842,1847
Joseph Sturge,QCA,Quaker,1842,1847
William Jun Grimshaw,QCA,Quaker,1840,1847
Henry Knight,APS,Quaker,1852,1858
Henry Knight,QCA,Quaker,1840,1847
Edward Paull,QCA,Quaker,1840,1847
Robert Jun Alsop,QCA,Quaker,1837,1847
Abram Rawlinson Barclay,QCA,Quaker,1837,1839
John Barclay,QCA,Quaker,1837,1839
Richard Barrett,QCA,Quaker,1837,1839
John Thomas Barry,APS,Quaker,1852,1853
John Thomas Barry,QCA,Quaker,1837,1847
